2024-09-08 10:14:45.987 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.woff2 responded 404 in 10.0558 ms
2024-09-08 10:14:46.018 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-regular-400.ttf responded 404 in 1.3267 ms
2024-09-08 10:14:46.018 +05:00 [INF] HTTP GET /assets/css/fonts/@fortawesome/fa-solid-900.ttf responded 404 in 1.6084 ms
2024-09-08 10:14:46.050 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-regular-400.woff2 responded 200 in 2.9483 ms
2024-09-08 10:14:46.053 +05:00 [INF] HTTP GET /assets/fonts/fontawesome/fa-solid-900.woff2 responded 200 in 3.0827 ms
2024-09-08 10:14:46.214 +05:00 [INF] HTTP GET /assets/js/chart.umd.js.map responded 404 in 0.9312 ms
2024-09-08 10:14:46.426 +05:00 [INF] HTTP GET /~/assets/media/favicons/favicon.png responded 404 in 5.0626 ms
2024-09-08 10:14:46.439 +05:00 [INF] HTTP GET /~/assets/media//favicons/favicon-192x192.png responded 404 in 4.9159 ms
2024-09-08 10:17:12.667 +05:00 [WRN] Failed to determine the https port for redirect.
2024-09-08 10:17:14.585 +05:00 [INF] HTTP GET /Company/Home/Index responded 200 in 1921.9793 ms
2024-09-08 10:17:14.733 +05:00 [INF] HTTP GET /assets/css/dashmix.min.css responded 200 in 38.5273 ms
2024-09-08 10:17:14.760 +05:00 [INF] HTTP GET /assets/css/plugins.bundle.css responded 200 in 23.7083 ms
2024-09-08 10:17:14.804 +05:00 [INF] HTTP GET /assets/css/style.bundle.css responded 200 in 25.9934 ms
2024-09-08 10:17:14.885 +05:00 [INF] HTTP GET /assets/js/lib/jquery.min.js responded 200 in 2.1796 ms
2024-09-08 10:17:14.898 +05:00 [INF] HTTP GET /js/global.js responded 200 in 2.4578 ms
2024-09-08 10:17:14.910 +05:00 [INF] HTTP GET /assets/js/plugins/chart.js/chart.min.js responded 200 in 14.2783 ms
2024-09-08 10:17:14.912 +05:00 [INF] HTTP GET /assets/media/logos/logo-compact.svg responded 404 in 16.7360 ms
2024-09-08 10:17:14.988 +05:00 [INF] HTTP GET /assets/js/dashmix.app.min.js responded 200 in 2.2397 ms
2024-09-08 10:17:16.497 +05:00 [INF] HTTP GET /assets/js/scripts.bundle.js responded 200 in 4.9819 ms
2024-09-08 10:17:16.513 +05:00 [INF] HTTP GET /assets/js/plugins.bundle.js responded 200 in 28.8639 ms
2024-09-08 10:17:16.558 +05:00 [INF] HTTP GET /assets/js/widgets.bundle.js responded 200 in 4.6629 ms
2024-09-08 10:17:16.613 +05:00 [INF] HTTP GET /assets/js/widgets.js responded 200 in 2.7285 ms
2024-09-08 10:17:16.644 +05:00 [INF] HTTP GET /assets/js/chat.js responded 200 in 1.4082 ms
